İngilizce,Türkçe
action-sentence compatibility effect,eylem-tümce uyumu etkisi
affective,duyuşsal
affective valence-spatial compatibility effect,duyuşsal değer-uzamsal uyum etkisi
affordance,sağlarlık (olanaklılık)
affordance compatibility effect,eylem olanaklılığı uyumu etkisi
agent,eyleyici
chronoseption,kronosepsiyon (zaman algısı)
cognitive offloading,bilişsel dışa yükleme
computational theory of mind,bilgi-işlemsel zihin kuramı
conceptualization,kavramsallaştırma
constitution,oluşturma
coupling,eşleşme
disembodied cognition,bedenlenmemiş biliş
distributed cognition,dağıtık biliş
effector specificity effect,etkileyen özgüllüğü etkisi
embedded cognition,gömülü biliş
embodied cognition,bedenlenmiş biliş
embodiment,bedenlenme
emotional congruency effect,duygusal uyum etkisi
enactive cognition,etkinleşimci biliş
epistemic action,epistemik eylem
extended cognition,yayılmış biliş
functionalism,i?şlevselcilik
grip type simulation effect,kavrama tipi simülasyonu etkisi
grounded cognition,temellenmiş biliş
interospective,i?çgörüsel
mental representation,zihinsel temsil
mental timeline compatibility effect,zihinsel zaman çizgisi uyumu etkisi
modality,kip
modular mind,modüler zihin
multimodal,ı‡ok kipli
nociception,nosisepsiyon (acı ve ağrı duyusu)
orientation match effect,yönelim uyumu etkisi
perceptual simulation effect,algısal simülasyon etkisi
perceptual symbol systems,algısal sembol sistemleri
pragmatic action,pragmatik eylem
proprioception,propriyosepsiyon (dışsal beden algısı - bedenin ve uzuvların uzamdaki konumu)
reenactment,yeniden inşa
replacement,yerine geçme
representational embodiment,temsilsel bedenlenme
scaffolding,dışsal yapılanma (bilişsel iskele)
situated cognition,konumlanmış biliş
situation models,durum modelleri
snarc effect,uzamsal-sayısal tepki kodları bağıntısı
solipsism,tekbencilik
symbol grounding problem,sembol temellendirme problemi
symbolic representation,sembolik temsil
thermoreception,termosepsiyon (ısı duyusu)
transactive memory,geçişli bellek
