Term (English),Term (Turkish)
Action-sentence compatibility effect,Eylem–tümce uyumu etkisi
Affective,Duyuşsal
Affective valence–spatial compatibility effect,Duyuşsal değer–uzamsal uyum etkisi
Affordance,Sağlarlık (olanaklılık)
Affordance compatibility effect,Eylem olanaklılığı uyumu etkisi
Cognitive offloading,Bilişsel dışa yükleme
Computational theory of mind,Bilgi-işlemsel zihin kuramı
Conceptualization,Kavramsallaştırma
Constitution,Oluşturma
Coupling,Eşleşme
Disembodied cognition,Bedenlenmemiş biliş
Distributed cognition,Dağıtık biliş
Effector specificity effect,Etkileyen özgüllüğü etkisi
Embedded cognition,Gömülü biliş
Embodied cognition,Bedenlenmiş biliş
Embodiment,Bedenlenme
Emotional congruency effect,Duygusal uyum etkisi
Enactive cognition,Etkinleşimci biliş
Epistemic action,Epistemik eylem
Extended cognition,Yayılmış biliş
Grip type simulation effect,Kavrama tipi simülasyonu etkisi
Grounded cognition,Temellenmiş biliş
Functionalism,İşlevselcilik
Interospective,İçgörüsel
Mental timeline compatibility effect,Zihinsel zaman çizgisi uyumu etkisi
Mental representation,Zihinsel temsil
Modality,Kip
Modular mind,Modüler zihin
Multimodal,Çok kipli
Orientation match effect,Yönelim uyumu etkisi
Perceptual symbol systems,Algısal sembol sistemleri
Perceptual simulation effect,Algısal simülasyon etkisi
Pragmatic action,Pragmatik eylem
Replacement,Yerine geçme
Representational embodiment,Temsilsel bedenlenme
Reenactment,Yeniden inşa
Scaffolding,Dışsal yapılanma (bilişsel iskele)
Solipsism,Tekbencilik
Situated cognition,Konumlanmış biliş
Situation models,Durum modelleri
SNARC effect,Uzamsal-Sayısal tepki kodları bağıntısı
Symbol grounding problem,Sembol temellendirme problemi
Symbolic representation,sembolik temsil
Transactive memory,Geçişli bellek
